DesignName,ParticipantID,TrialID,Block1,F,S
Design 1,1,1,1,F3,S2
Design 1,1,2,2,F1,S1
Design 1,1,3,3,F2,S1
Design 1,1,4,4,F1,S2
Design 1,1,5,5,F2,S2
Design 1,1,6,6,F3,S1
Design 1,2,7,1,F1,S1
Design 1,2,8,2,F1,S2
Design 1,2,9,3,F2,S2
Design 1,2,10,4,F2,S1
Design 1,2,11,5,F3,S1
Design 1,2,12,6,F3,S2
Design 1,3,13,1,F1,S2
Design 1,3,14,2,F2,S1
Design 1,3,15,3,F3,S1
Design 1,3,16,4,F2,S2
Design 1,3,17,5,F3,S2
Design 1,3,18,6,F1,S1
Design 1,4,19,1,F2,S1
Design 1,4,20,2,F2,S2
Design 1,4,21,3,F3,S2
Design 1,4,22,4,F3,S1
Design 1,4,23,5,F1,S1
Design 1,4,24,6,F1,S2
Design 1,5,25,1,F2,S2
Design 1,5,26,2,F3,S1
Design 1,5,27,3,F1,S1
Design 1,5,28,4,F3,S2
Design 1,5,29,5,F1,S2
Design 1,5,30,6,F2,S1
Design 1,6,31,1,F3,S1
Design 1,6,32,2,F3,S2
Design 1,6,33,3,F1,S2
Design 1,6,34,4,F1,S1
Design 1,6,35,5,F2,S1
Design 1,6,36,6,F2,S2
Design 1,7,1,1,F3,S2
Design 1,7,2,2,F1,S1
Design 1,7,3,3,F2,S1
Design 1,7,4,4,F1,S2
Design 1,7,5,5,F2,S2
Design 1,7,6,6,F3,S1
Design 1,8,7,1,F1,S1
Design 1,8,8,2,F1,S2
Design 1,8,9,3,F2,S2
Design 1,8,10,4,F2,S1
Design 1,8,11,5,F3,S1
Design 1,8,12,6,F3,S2
Design 1,9,13,1,F1,S2
Design 1,9,14,2,F2,S1
Design 1,9,15,3,F3,S1
Design 1,9,16,4,F2,S2
Design 1,9,17,5,F3,S2
Design 1,9,18,6,F1,S1
Design 1,10,19,1,F2,S1
Design 1,10,20,2,F2,S2
Design 1,10,21,3,F3,S2
Design 1,10,22,4,F3,S1
Design 1,10,23,5,F1,S1
Design 1,10,24,6,F1,S2
Design 1,11,25,1,F2,S2
Design 1,11,26,2,F3,S1
Design 1,11,27,3,F1,S1
Design 1,11,28,4,F3,S2
Design 1,11,29,5,F1,S2
Design 1,11,30,6,F2,S1
Design 1,12,31,1,F3,S1
Design 1,12,32,2,F3,S2
Design 1,12,33,3,F1,S2
Design 1,12,34,4,F1,S1
Design 1,12,35,5,F2,S1
Design 1,12,36,6,F2,S2
Design 1,13,1,1,F3,S2
Design 1,13,2,2,F1,S1
Design 1,13,3,3,F2,S1
Design 1,13,4,4,F1,S2
Design 1,13,5,5,F2,S2
Design 1,13,6,6,F3,S1
Design 1,14,7,1,F1,S1
Design 1,14,8,2,F1,S2
Design 1,14,9,3,F2,S2
Design 1,14,10,4,F2,S1
Design 1,14,11,5,F3,S1
Design 1,14,12,6,F3,S2
Design 1,15,13,1,F1,S2
Design 1,15,14,2,F2,S1
Design 1,15,15,3,F3,S1
Design 1,15,16,4,F2,S2
Design 1,15,17,5,F3,S2
Design 1,15,18,6,F1,S1
Design 1,16,19,1,F2,S1
Design 1,16,20,2,F2,S2
Design 1,16,21,3,F3,S2
Design 1,16,22,4,F3,S1
Design 1,16,23,5,F1,S1
Design 1,16,24,6,F1,S2
Design 1,17,25,1,F2,S2
Design 1,17,26,2,F3,S1
Design 1,17,27,3,F1,S1
Design 1,17,28,4,F3,S2
Design 1,17,29,5,F1,S2
Design 1,17,30,6,F2,S1
Design 1,18,31,1,F3,S1
Design 1,18,32,2,F3,S2
Design 1,18,33,3,F1,S2
Design 1,18,34,4,F1,S1
Design 1,18,35,5,F2,S1
Design 1,18,36,6,F2,S2
